issue_d,Year_Month,loan_amnt,fico_range_low,dti,purpose,UNRATE,FEDFUNDS,loan_status,target
Dec-2015,2015-12,4225.0,725.0,15.22,debt_consolidation,5.0,0.24,Charged Off,1
Dec-2015,2015-12,20000.0,835.0,18.83,debt_consolidation,5.0,0.24,Fully Paid,0
Dec-2015,2015-12,16000.0,680.0,23.35,debt_consolidation,5.0,0.24,Fully Paid,0
Dec-2015,2015-12,17600.0,780.0,26.59,credit_card,5.0,0.24,Fully Paid,0
Dec-2015,2015-12,15000.0,685.0,15.34,home_improvement,5.0,0.24,Fully Paid,0
Dec-2015,2015-12,16000.0,675.0,18.96,small_business,5.0,0.24,Charged Off,1
Dec-2015,2015-12,24250.0,660.0,20.84,debt_consolidation,5.0,0.24,Charged Off,1
Dec-2015,2015-12,12000.0,690.0,24.04,debt_consolidation,5.0,0.24,Fully Paid,0
Dec-2015,2015-12,25000.0,730.0,34.53,debt_consolidation,5.0,0.24,Charged Off,1
Dec-2015,2015-12,7000.0,730.0,13.06,credit_card,5.0,0.24,Fully Paid,0
Dec-2015,2015-12,21000.0,680.0,14.47,credit_card,5.0,0.24,Fully Paid,0
Dec-2015,2015-12,27500.0,700.0,6.79,other,5.0,0.24,Fully Paid,0
Dec-2015,2015-12,7200.0,725.0,8.47,home_improvement,5.0,0.24,Fully Paid,0
Dec-2015,2015-12,20000.0,690.0,12.45,credit_card,5.0,0.24,Fully Paid,0
Dec-2015,2015-12,20000.0,680.0,22.21,house,5.0,0.24,Fully Paid,0
Dec-2015,2015-12,10000.0,685.0,35.7,credit_card,5.0,0.24,Charged Off,1
Dec-2015,2015-12,20000.0,725.0,23.45,debt_consolidation,5.0,0.24,Fully Paid,0
Dec-2015,2015-12,8650.0,750.0,7.28,credit_card,5.0,0.24,Fully Paid,0
Dec-2015,2015-12,21000.0,670.0,12.14,debt_consolidation,5.0,0.24,Fully Paid,0
Dec-2015,2015-12,7200.0,680.0,17.35,debt_consolidation,5.0,0.24,Fully Paid,0
Dec-2015,2015-12,8800.0,665.0,5.18,credit_card,5.0,0.24,Fully Paid,0
Dec-2015,2015-12,2500.0,670.0,17.6,other,5.0,0.24,Fully Paid,0
Dec-2015,2015-12,11000.0,680.0,21.34,credit_card,5.0,0.24,Fully Paid,0
Dec-2015,2015-12,10000.0,710.0,9.44,house,5.0,0.24,Fully Paid,0
Dec-2015,2015-12,28000.0,685.0,31.88,debt_consolidation,5.0,0.24,Fully Paid,0
Dec-2015,2015-12,35000.0,685.0,6.46,home_improvement,5.0,0.24,Fully Paid,0
Dec-2015,2015-12,7200.0,675.0,19.25,debt_consolidation,5.0,0.24,Fully Paid,0
Dec-2015,2015-12,10000.0,680.0,10.81,credit_card,5.0,0.24,Fully Paid,0
Dec-2015,2015-12,16000.0,670.0,9.6,credit_card,5.0,0.24,Charged Off,1
Dec-2015,2015-12,21875.0,700.0,17.76,credit_card,5.0,0.24,Fully Paid,0
Dec-2015,2015-12,14025.0,675.0,18.0,debt_consolidation,5.0,0.24,Fully Paid,0
Dec-2015,2015-12,35000.0,730.0,17.36,debt_consolidation,5.0,0.24,Charged Off,1
Dec-2015,2015-12,20000.0,695.0,12.28,debt_consolidation,5.0,0.24,Fully Paid,0
Dec-2015,2015-12,14000.0,690.0,24.29,debt_consolidation,5.0,0.24,Charged Off,1
Dec-2015,2015-12,20000.0,680.0,16.9,debt_consolidation,5.0,0.24,Charged Off,1
Dec-2015,2015-12,4200.0,700.0,26.21,debt_consolidation,5.0,0.24,Fully Paid,0
Dec-2015,2015-12,19000.0,665.0,13.09,credit_card,5.0,0.24,Fully Paid,0
Dec-2015,2015-12,15850.0,755.0,34.85,debt_consolidation,5.0,0.24,Fully Paid,0
Dec-2015,2015-12,30000.0,725.0,18.5,home_improvement,5.0,0.24,Fully Paid,0
Dec-2015,2015-12,1500.0,745.0,16.11,vacation,5.0,0.24,Fully Paid,0
Dec-2015,2015-12,25000.0,795.0,9.54,credit_card,5.0,0.24,Fully Paid,0
Dec-2015,2015-12,20200.0,720.0,34.84,debt_consolidation,5.0,0.24,Charged Off,1
Dec-2015,2015-12,23975.0,685.0,33.2,credit_card,5.0,0.24,Charged Off,1
Dec-2015,2015-12,15000.0,720.0,29.28,debt_consolidation,5.0,0.24,Fully Paid,0
Dec-2015,2015-12,10000.0,695.0,15.78,debt_consolidation,5.0,0.24,Fully Paid,0
Dec-2015,2015-12,15000.0,670.0,13.24,credit_card,5.0,0.24,Fully Paid,0
Dec-2015,2015-12,23100.0,660.0,20.43,car,5.0,0.24,Charged Off,1
Dec-2015,2015-12,27300.0,660.0,25.63,home_improvement,5.0,0.24,Charged Off,1
Dec-2015,2015-12,25000.0,705.0,4.65,credit_card,5.0,0.24,Fully Paid,0
Dec-2015,2015-12,15000.0,670.0,10.17,credit_card,5.0,0.24,Fully Paid,0
Dec-2015,2015-12,10000.0,715.0,30.84,debt_consolidation,5.0,0.24,Fully Paid,0
Dec-2015,2015-12,18500.0,675.0,13.2,debt_consolidation,5.0,0.24,Fully Paid,0
Dec-2015,2015-12,5000.0,685.0,13.73,credit_card,5.0,0.24,Fully Paid,0
Dec-2015,2015-12,9000.0,800.0,11.98,debt_consolidation,5.0,0.24,Fully Paid,0
Dec-2015,2015-12,11000.0,755.0,15.0,credit_card,5.0,0.24,Fully Paid,0
Dec-2015,2015-12,20000.0,750.0,29.15,debt_consolidation,5.0,0.24,Fully Paid,0
Dec-2015,2015-12,15000.0,775.0,20.18,debt_consolidation,5.0,0.24,Fully Paid,0
Dec-2015,2015-12,12000.0,700.0,15.3,debt_consolidation,5.0,0.24,Fully Paid,0
Dec-2015,2015-12,8000.0,670.0,21.23,debt_consolidation,5.0,0.24,Fully Paid,0
Dec-2015,2015-12,12000.0,665.0,31.95,credit_card,5.0,0.24,Fully Paid,0
Dec-2015,2015-12,18000.0,715.0,25.65,debt_consolidation,5.0,0.24,Fully Paid,0
Dec-2015,2015-12,3600.0,675.0,17.44,debt_consolidation,5.0,0.24,Fully Paid,0
Dec-2015,2015-12,7200.0,705.0,13.21,debt_consolidation,5.0,0.24,Charged Off,1
Dec-2015,2015-12,15000.0,670.0,18.17,credit_card,5.0,0.24,Fully Paid,0
Dec-2015,2015-12,5000.0,710.0,6.52,other,5.0,0.24,Fully Paid,0
Dec-2015,2015-12,11550.0,700.0,21.07,credit_card,5.0,0.24,Charged Off,1
Dec-2015,2015-12,33600.0,690.0,14.01,debt_consolidation,5.0,0.24,Fully Paid,0
Dec-2015,2015-12,17475.0,695.0,23.58,debt_consolidation,5.0,0.24,Charged Off,1
Dec-2015,2015-12,9000.0,675.0,8.43,debt_consolidation,5.0,0.24,Fully Paid,0
Dec-2015,2015-12,12000.0,785.0,23.84,debt_consolidation,5.0,0.24,Fully Paid,0
Dec-2015,2015-12,4000.0,670.0,15.83,debt_consolidation,5.0,0.24,Fully Paid,0
Dec-2015,2015-12,10500.0,660.0,8.51,credit_card,5.0,0.24,Fully Paid,0
Dec-2015,2015-12,14000.0,685.0,15.97,medical,5.0,0.24,Fully Paid,0
Dec-2015,2015-12,6000.0,685.0,14.45,car,5.0,0.24,Fully Paid,0
Dec-2015,2015-12,15000.0,680.0,13.89,debt_consolidation,5.0,0.24,Fully Paid,0
Dec-2015,2015-12,12000.0,705.0,26.32,debt_consolidation,5.0,0.24,Fully Paid,0
Dec-2015,2015-12,10000.0,710.0,21.75,debt_consolidation,5.0,0.24,Fully Paid,0
Dec-2015,2015-12,4200.0,705.0,31.02,other,5.0,0.24,Fully Paid,0
Dec-2015,2015-12,35000.0,700.0,35.69,debt_consolidation,5.0,0.24,Fully Paid,0
Dec-2015,2015-12,5475.0,670.0,33.47,debt_consolidation,5.0,0.24,Charged Off,1
Dec-2015,2015-12,6000.0,690.0,23.26,debt_consolidation,5.0,0.24,Fully Paid,0
Dec-2015,2015-12,24000.0,660.0,10.11,debt_consolidation,5.0,0.24,Fully Paid,0
Dec-2015,2015-12,10000.0,715.0,3.3,debt_consolidation,5.0,0.24,Fully Paid,0
Dec-2015,2015-12,6900.0,665.0,9.57,debt_consolidation,5.0,0.24,Fully Paid,0
Dec-2015,2015-12,15975.0,665.0,20.45,debt_consolidation,5.0,0.24,Fully Paid,0
Dec-2015,2015-12,21600.0,690.0,17.64,debt_consolidation,5.0,0.24,Fully Paid,0
Dec-2015,2015-12,14400.0,660.0,17.02,debt_consolidation,5.0,0.24,Charged Off,1
Dec-2015,2015-12,8000.0,705.0,23.26,other,5.0,0.24,Fully Paid,0
Dec-2015,2015-12,7000.0,680.0,21.96,debt_consolidation,5.0,0.24,Fully Paid,0
Dec-2015,2015-12,20000.0,740.0,36.94,debt_consolidation,5.0,0.24,Fully Paid,0
Dec-2015,2015-12,25825.0,675.0,31.68,debt_consolidation,5.0,0.24,Charged Off,1
Dec-2015,2015-12,24575.0,725.0,24.16,debt_consolidation,5.0,0.24,Fully Paid,0
Dec-2015,2015-12,3200.0,710.0,20.61,medical,5.0,0.24,Fully Paid,0
Dec-2015,2015-12,22875.0,700.0,32.3,debt_consolidation,5.0,0.24,Fully Paid,0
Dec-2015,2015-12,35000.0,710.0,24.19,debt_consolidation,5.0,0.24,Fully Paid,0
Dec-2015,2015-12,2400.0,670.0,28.38,home_improvement,5.0,0.24,Fully Paid,0
Dec-2015,2015-12,25000.0,745.0,13.83,debt_consolidation,5.0,0.24,Fully Paid,0
Dec-2015,2015-12,8800.0,715.0,35.52,credit_card,5.0,0.24,Fully Paid,0
Dec-2015,2015-12,2500.0,770.0,38.06,debt_consolidation,5.0,0.24,Fully Paid,0
Dec-2015,2015-12,8000.0,715.0,14.86,credit_card,5.0,0.24,Fully Paid,0
Dec-2015,2015-12,20000.0,705.0,27.1,debt_consolidation,5.0,0.24,Charged Off,1
Dec-2015,2015-12,35000.0,695.0,13.39,major_purchase,5.0,0.24,Charged Off,1
Dec-2015,2015-12,15000.0,710.0,10.67,debt_consolidation,5.0,0.24,Fully Paid,0
Dec-2015,2015-12,16000.0,705.0,8.78,debt_consolidation,5.0,0.24,Charged Off,1
Dec-2015,2015-12,10800.0,665.0,26.13,debt_consolidation,5.0,0.24,Fully Paid,0
Dec-2015,2015-12,7500.0,685.0,37.2,debt_consolidation,5.0,0.24,Fully Paid,0
Dec-2015,2015-12,16000.0,670.0,35.19,debt_consolidation,5.0,0.24,Charged Off,1
Dec-2015,2015-12,9000.0,755.0,21.63,credit_card,5.0,0.24,Fully Paid,0
Dec-2015,2015-12,9500.0,695.0,27.95,other,5.0,0.24,Fully Paid,0
Dec-2015,2015-12,10000.0,740.0,29.91,debt_consolidation,5.0,0.24,Charged Off,1
Dec-2015,2015-12,6000.0,795.0,17.92,debt_consolidation,5.0,0.24,Fully Paid,0
Dec-2015,2015-12,15600.0,720.0,15.37,major_purchase,5.0,0.24,Fully Paid,0
Dec-2015,2015-12,35000.0,750.0,13.36,debt_consolidation,5.0,0.24,Fully Paid,0
Dec-2015,2015-12,5000.0,700.0,21.21,debt_consolidation,5.0,0.24,Fully Paid,0
Dec-2015,2015-12,20400.0,725.0,38.65,credit_card,5.0,0.24,Fully Paid,0
Dec-2015,2015-12,8000.0,665.0,11.52,debt_consolidation,5.0,0.24,Charged Off,1
Dec-2015,2015-12,16000.0,695.0,13.74,debt_consolidation,5.0,0.24,Fully Paid,0
Dec-2015,2015-12,18000.0,740.0,15.56,debt_consolidation,5.0,0.24,Charged Off,1
Dec-2015,2015-12,35000.0,690.0,25.07,debt_consolidation,5.0,0.24,Fully Paid,0
Dec-2015,2015-12,13150.0,765.0,20.25,major_purchase,5.0,0.24,Fully Paid,0
Dec-2015,2015-12,5600.0,660.0,19.85,credit_card,5.0,0.24,Fully Paid,0
Dec-2015,2015-12,23000.0,680.0,17.09,credit_card,5.0,0.24,Fully Paid,0
Dec-2015,2015-12,12600.0,690.0,11.75,credit_card,5.0,0.24,Fully Paid,0
Dec-2015,2015-12,11000.0,735.0,16.85,debt_consolidation,5.0,0.24,Fully Paid,0
Dec-2015,2015-12,4000.0,685.0,12.9,debt_consolidation,5.0,0.24,Fully Paid,0
Dec-2015,2015-12,20000.0,685.0,22.62,debt_consolidation,5.0,0.24,Fully Paid,0
Dec-2015,2015-12,10000.0,690.0,32.7,credit_card,5.0,0.24,Fully Paid,0
Dec-2015,2015-12,18850.0,700.0,15.56,debt_consolidation,5.0,0.24,Charged Off,1
Dec-2015,2015-12,21000.0,730.0,15.07,debt_consolidation,5.0,0.24,Fully Paid,0
Dec-2015,2015-12,10500.0,685.0,15.39,debt_consolidation,5.0,0.24,Fully Paid,0
Dec-2015,2015-12,4575.0,665.0,10.03,house,5.0,0.24,Charged Off,1
Dec-2015,2015-12,5000.0,690.0,27.9,other,5.0,0.24,Fully Paid,0
Dec-2015,2015-12,8000.0,790.0,15.15,home_improvement,5.0,0.24,Fully Paid,0
Dec-2015,2015-12,5000.0,675.0,9.16,debt_consolidation,5.0,0.24,Charged Off,1
Dec-2015,2015-12,9075.0,815.0,8.39,credit_card,5.0,0.24,Fully Paid,0
Dec-2015,2015-12,12500.0,705.0,6.83,credit_card,5.0,0.24,Fully Paid,0
Dec-2015,2015-12,19600.0,710.0,18.99,debt_consolidation,5.0,0.24,Charged Off,1
Dec-2015,2015-12,35000.0,740.0,10.97,debt_consolidation,5.0,0.24,Fully Paid,0
Dec-2015,2015-12,28000.0,685.0,24.83,debt_consolidation,5.0,0.24,Fully Paid,0
Dec-2015,2015-12,14000.0,690.0,19.24,debt_consolidation,5.0,0.24,Charged Off,1
Dec-2015,2015-12,16000.0,660.0,6.97,credit_card,5.0,0.24,Fully Paid,0
Dec-2015,2015-12,14000.0,775.0,6.73,debt_consolidation,5.0,0.24,Fully Paid,0
Dec-2015,2015-12,24000.0,715.0,22.8,debt_consolidation,5.0,0.24,Fully Paid,0
Dec-2015,2015-12,35000.0,685.0,18.19,debt_consolidation,5.0,0.24,Fully Paid,0
Dec-2015,2015-12,8000.0,705.0,31.06,credit_card,5.0,0.24,Fully Paid,0
Dec-2015,2015-12,3600.0,710.0,26.45,debt_consolidation,5.0,0.24,Fully Paid,0
Dec-2015,2015-12,10500.0,660.0,30.73,debt_consolidation,5.0,0.24,Fully Paid,0
Dec-2015,2015-12,3000.0,685.0,12.09,home_improvement,5.0,0.24,Fully Paid,0
Dec-2015,2015-12,16000.0,675.0,17.11,credit_card,5.0,0.24,Fully Paid,0
Dec-2015,2015-12,8000.0,740.0,25.01,debt_consolidation,5.0,0.24,Fully Paid,0
Dec-2015,2015-12,19500.0,730.0,13.74,debt_consolidation,5.0,0.24,Fully Paid,0
Dec-2015,2015-12,2000.0,845.0,6.78,other,5.0,0.24,Fully Paid,0
Dec-2015,2015-12,16000.0,725.0,14.45,debt_consolidation,5.0,0.24,Fully Paid,0
Dec-2015,2015-12,3500.0,660.0,17.97,vacation,5.0,0.24,Fully Paid,0
Dec-2015,2015-12,24000.0,675.0,26.89,debt_consolidation,5.0,0.24,Fully Paid,0
Dec-2015,2015-12,6000.0,780.0,3.98,credit_card,5.0,0.24,Fully Paid,0
Dec-2015,2015-12,24000.0,675.0,26.83,debt_consolidation,5.0,0.24,Fully Paid,0
Dec-2015,2015-12,14875.0,665.0,36.3,debt_consolidation,5.0,0.24,Charged Off,1
Dec-2015,2015-12,10000.0,685.0,37.55,other,5.0,0.24,Fully Paid,0
Dec-2015,2015-12,15000.0,755.0,14.86,credit_card,5.0,0.24,Fully Paid,0
Dec-2015,2015-12,10000.0,730.0,14.61,credit_card,5.0,0.24,Fully Paid,0
Dec-2015,2015-12,24000.0,685.0,7.23,debt_consolidation,5.0,0.24,Fully Paid,0
Dec-2015,2015-12,23525.0,675.0,13.33,debt_consolidation,5.0,0.24,Fully Paid,0
Dec-2015,2015-12,11000.0,670.0,12.69,other,5.0,0.24,Fully Paid,0
Dec-2015,2015-12,24000.0,690.0,20.16,debt_consolidation,5.0,0.24,Fully Paid,0
Dec-2015,2015-12,16000.0,670.0,14.68,credit_card,5.0,0.24,Fully Paid,0
Dec-2015,2015-12,15000.0,685.0,17.07,debt_consolidation,5.0,0.24,Charged Off,1
Dec-2015,2015-12,5000.0,675.0,19.56,debt_consolidation,5.0,0.24,Charged Off,1
Dec-2015,2015-12,15000.0,685.0,10.14,credit_card,5.0,0.24,Fully Paid,0
Dec-2015,2015-12,15000.0,720.0,25.56,credit_card,5.0,0.24,Fully Paid,0
Dec-2015,2015-12,3500.0,665.0,17.65,other,5.0,0.24,Fully Paid,0
Dec-2015,2015-12,20000.0,715.0,12.77,debt_consolidation,5.0,0.24,Fully Paid,0
Dec-2015,2015-12,35000.0,670.0,14.48,debt_consolidation,5.0,0.24,Fully Paid,0
Dec-2015,2015-12,2000.0,665.0,12.66,other,5.0,0.24,Fully Paid,0
Dec-2015,2015-12,12000.0,725.0,25.43,credit_card,5.0,0.24,Fully Paid,0
Dec-2015,2015-12,8000.0,740.0,18.92,credit_card,5.0,0.24,Fully Paid,0
Dec-2015,2015-12,10000.0,680.0,10.55,debt_consolidation,5.0,0.24,Charged Off,1
Dec-2015,2015-12,35000.0,665.0,19.43,debt_consolidation,5.0,0.24,Fully Paid,0
Dec-2015,2015-12,25600.0,740.0,10.88,debt_consolidation,5.0,0.24,Fully Paid,0
Dec-2015,2015-12,4325.0,730.0,16.96,major_purchase,5.0,0.24,Fully Paid,0
Dec-2015,2015-12,6000.0,760.0,33.78,credit_card,5.0,0.24,Fully Paid,0
Dec-2015,2015-12,18200.0,660.0,29.28,credit_card,5.0,0.24,Charged Off,1
Dec-2015,2015-12,10000.0,700.0,19.38,credit_card,5.0,0.24,Fully Paid,0
Dec-2015,2015-12,30000.0,725.0,12.03,debt_consolidation,5.0,0.24,Fully Paid,0
Dec-2015,2015-12,13200.0,740.0,15.45,home_improvement,5.0,0.24,Fully Paid,0
Dec-2015,2015-12,10000.0,710.0,4.76,debt_consolidation,5.0,0.24,Fully Paid,0
Dec-2015,2015-12,3000.0,665.0,22.82,debt_consolidation,5.0,0.24,Fully Paid,0
Dec-2015,2015-12,20000.0,765.0,19.04,debt_consolidation,5.0,0.24,Fully Paid,0
Dec-2015,2015-12,13875.0,710.0,23.53,credit_card,5.0,0.24,Fully Paid,0
Dec-2015,2015-12,18000.0,755.0,14.4,debt_consolidation,5.0,0.24,Fully Paid,0
Dec-2015,2015-12,15225.0,685.0,21.21,debt_consolidation,5.0,0.24,Charged Off,1
Dec-2015,2015-12,16000.0,705.0,21.16,debt_consolidation,5.0,0.24,Charged Off,1
Dec-2015,2015-12,21000.0,750.0,6.2,other,5.0,0.24,Charged Off,1
Dec-2015,2015-12,13000.0,660.0,16.74,debt_consolidation,5.0,0.24,Charged Off,1
Dec-2015,2015-12,20000.0,705.0,4.99,major_purchase,5.0,0.24,Fully Paid,0
Dec-2015,2015-12,31075.0,725.0,17.18,credit_card,5.0,0.24,Fully Paid,0
Dec-2015,2015-12,18000.0,710.0,14.88,credit_card,5.0,0.24,Fully Paid,0
Dec-2015,2015-12,5000.0,685.0,33.39,other,5.0,0.24,Fully Paid,0
Dec-2015,2015-12,4675.0,675.0,34.07,credit_card,5.0,0.24,Fully Paid,0
Dec-2015,2015-12,6000.0,710.0,14.42,debt_consolidation,5.0,0.24,Fully Paid,0
Dec-2015,2015-12,12000.0,660.0,12.62,debt_consolidation,5.0,0.24,Fully Paid,0
Dec-2015,2015-12,13000.0,700.0,9.9,home_improvement,5.0,0.24,Fully Paid,0
Dec-2015,2015-12,1800.0,660.0,20.38,other,5.0,0.24,Fully Paid,0
Dec-2015,2015-12,4475.0,670.0,8.36,credit_card,5.0,0.24,Fully Paid,0
Dec-2015,2015-12,14400.0,695.0,16.32,debt_consolidation,5.0,0.24,Fully Paid,0
Dec-2015,2015-12,5875.0,670.0,9.53,debt_consolidation,5.0,0.24,Fully Paid,0
Dec-2015,2015-12,20000.0,660.0,25.1,debt_consolidation,5.0,0.24,Fully Paid,0
Dec-2015,2015-12,10000.0,715.0,23.26,debt_consolidation,5.0,0.24,Fully Paid,0
Dec-2015,2015-12,34100.0,735.0,29.14,debt_consolidation,5.0,0.24,Fully Paid,0
Dec-2015,2015-12,24000.0,680.0,12.37,credit_card,5.0,0.24,Fully Paid,0
Dec-2015,2015-12,5200.0,660.0,8.0,debt_consolidation,5.0,0.24,Fully Paid,0
Dec-2015,2015-12,16800.0,675.0,5.76,debt_consolidation,5.0,0.24,Fully Paid,0
Dec-2015,2015-12,10000.0,665.0,10.95,debt_consolidation,5.0,0.24,Fully Paid,0
Dec-2015,2015-12,22000.0,665.0,22.34,debt_consolidation,5.0,0.24,Fully Paid,0
Dec-2015,2015-12,28000.0,715.0,29.88,debt_consolidation,5.0,0.24,Fully Paid,0
Dec-2015,2015-12,7200.0,725.0,20.68,credit_card,5.0,0.24,Fully Paid,0
Dec-2015,2015-12,18000.0,690.0,38.35,debt_consolidation,5.0,0.24,Fully Paid,0
Dec-2015,2015-12,8400.0,730.0,29.2,debt_consolidation,5.0,0.24,Fully Paid,0
Dec-2015,2015-12,5000.0,670.0,31.08,credit_card,5.0,0.24,Fully Paid,0
Dec-2015,2015-12,5000.0,665.0,10.93,debt_consolidation,5.0,0.24,Charged Off,1
Dec-2015,2015-12,2400.0,670.0,24.14,debt_consolidation,5.0,0.24,Charged Off,1
Dec-2015,2015-12,15000.0,790.0,21.48,debt_consolidation,5.0,0.24,Fully Paid,0
Dec-2015,2015-12,6075.0,730.0,27.37,debt_consolidation,5.0,0.24,Fully Paid,0
Dec-2015,2015-12,20000.0,670.0,22.58,debt_consolidation,5.0,0.24,Fully Paid,0
Dec-2015,2015-12,6025.0,665.0,21.32,debt_consolidation,5.0,0.24,Fully Paid,0
Dec-2015,2015-12,8400.0,690.0,12.96,debt_consolidation,5.0,0.24,Fully Paid,0
Dec-2015,2015-12,15000.0,710.0,21.17,debt_consolidation,5.0,0.24,Fully Paid,0
Dec-2015,2015-12,12000.0,695.0,3.61,debt_consolidation,5.0,0.24,Fully Paid,0
Dec-2015,2015-12,28800.0,700.0,6.68,home_improvement,5.0,0.24,Fully Paid,0
Dec-2015,2015-12,5000.0,730.0,19.22,debt_consolidation,5.0,0.24,Fully Paid,0
Dec-2015,2015-12,5000.0,685.0,30.24,home_improvement,5.0,0.24,Fully Paid,0
Dec-2015,2015-12,31500.0,755.0,10.55,debt_consolidation,5.0,0.24,Fully Paid,0
Dec-2015,2015-12,24000.0,660.0,13.05,debt_consolidation,5.0,0.24,Fully Paid,0
Dec-2015,2015-12,20000.0,670.0,23.89,debt_consolidation,5.0,0.24,Charged Off,1
Dec-2015,2015-12,24000.0,735.0,20.82,debt_consolidation,5.0,0.24,Fully Paid,0
Dec-2015,2015-12,21850.0,660.0,12.74,debt_consolidation,5.0,0.24,Fully Paid,0
Dec-2015,2015-12,9500.0,680.0,8.67,home_improvement,5.0,0.24,Fully Paid,0
Dec-2015,2015-12,20000.0,675.0,16.7,debt_consolidation,5.0,0.24,Fully Paid,0
Dec-2015,2015-12,20000.0,685.0,26.92,home_improvement,5.0,0.24,Charged Off,1
Dec-2015,2015-12,20000.0,735.0,16.93,credit_card,5.0,0.24,Fully Paid,0
Dec-2015,2015-12,12000.0,790.0,20.12,credit_card,5.0,0.24,Fully Paid,0
Dec-2015,2015-12,10000.0,670.0,14.73,debt_consolidation,5.0,0.24,Fully Paid,0
Dec-2015,2015-12,12000.0,805.0,18.91,debt_consolidation,5.0,0.24,Fully Paid,0
Dec-2015,2015-12,12000.0,750.0,6.4,debt_consolidation,5.0,0.24,Fully Paid,0
Dec-2015,2015-12,6425.0,670.0,2.87,debt_consolidation,5.0,0.24,Fully Paid,0
Dec-2015,2015-12,12700.0,675.0,34.32,debt_consolidation,5.0,0.24,Fully Paid,0
Dec-2015,2015-12,35000.0,680.0,9.23,credit_card,5.0,0.24,Fully Paid,0
Dec-2015,2015-12,15000.0,670.0,31.29,credit_card,5.0,0.24,Charged Off,1
Dec-2015,2015-12,20550.0,715.0,26.38,debt_consolidation,5.0,0.24,Fully Paid,0
Dec-2015,2015-12,25000.0,725.0,25.48,home_improvement,5.0,0.24,Fully Paid,0
Dec-2015,2015-12,14000.0,660.0,13.36,debt_consolidation,5.0,0.24,Fully Paid,0
Dec-2015,2015-12,16925.0,680.0,22.09,major_purchase,5.0,0.24,Charged Off,1
Dec-2015,2015-12,4700.0,705.0,17.64,debt_consolidation,5.0,0.24,Fully Paid,0
Dec-2015,2015-12,5000.0,675.0,13.63,debt_consolidation,5.0,0.24,Fully Paid,0
Dec-2015,2015-12,12000.0,670.0,17.66,debt_consolidation,5.0,0.24,Fully Paid,0
Dec-2015,2015-12,12000.0,660.0,12.61,debt_consolidation,5.0,0.24,Fully Paid,0
Dec-2015,2015-12,15000.0,700.0,4.66,debt_consolidation,5.0,0.24,Fully Paid,0
Dec-2015,2015-12,4900.0,685.0,25.6,debt_consolidation,5.0,0.24,Fully Paid,0
Dec-2015,2015-12,18000.0,690.0,16.82,credit_card,5.0,0.24,Fully Paid,0
Dec-2015,2015-12,18000.0,660.0,19.76,debt_consolidation,5.0,0.24,Charged Off,1
Dec-2015,2015-12,25000.0,660.0,21.33,debt_consolidation,5.0,0.24,Charged Off,1
Dec-2015,2015-12,15000.0,665.0,13.92,debt_consolidation,5.0,0.24,Fully Paid,0
Dec-2015,2015-12,3600.0,660.0,18.93,car,5.0,0.24,Fully Paid,0
Dec-2015,2015-12,33000.0,735.0,20.68,other,5.0,0.24,Fully Paid,0
Dec-2015,2015-12,14950.0,685.0,31.36,debt_consolidation,5.0,0.24,Fully Paid,0
